protons,nuetrons,electrons,periodic x,periodic y,class
1,0,1,1,1,0
2,2,2,18,1,0
3,4,3,1,2,0
4,5,4,2,2,0
5,6,5,13,2,0
6,6,6,14,2,0
7,7,7,15,2,0
8,8,8,16,2,0
9,10,9,17,2,0
37,48,37,1,5,6
115,174,115,15,7,1
99,153,99,14,7,6
73,108,73,5,6,0
25,30,25,7,4,0
117,175,117,17,7,1
86,136,86,18,6,5
36,48,36,18,3,0
30,35,30,12,4,0
112,173,112,12,7,2
110,171,110,10,7,2
14,14,14,14,3,0
83,126,83,15,6,0
75,111,75,7,6,6
11,12,11,1,3,0
118,176,118,18,7,1
24,28,24,6,4,0
48,66,48,12,5,0
29,34,29,11,4,0
101,157,101,16,7,5
45,58,45,9,5,0
71,104,71,18,6,0
72,106,72,4,6,0
10,10,10,18,2,0
105,163,105,5,7,5
44,57,44,8,5,0
54,77,54,18,5,0
65,94,65,12,7,0
76,114,76,8,6,0
80,120,80,12,6,0
95,148,95,10,7,7.00E+00
66,96,66,13,7,0
40,51,40,4,5,0
26,30,26,8,4,0
74,144,74,6,6,0
104,163,104,4,7,4
15,16,15,15,3,0
56,81,56,2,6,0
34,45,34,16,4,0
97,150,97,12,7,6.00E+00
116,177,116,16,7,3
59,82,59,6,7,0
28,31,28,10,4,0
96,151,96,11,7,7.00E+00
92,146,92,7,7,7.00E+00
55,78,55,1,6,0
12,12,12,2,3,0
103,159,103,18,7,4
31,39,31,13,4,0
85,125,85,17,6,4
57,84,57,3,6,0.00E+00
87,136,87,1,7,3
27,32,27,9,4,0.00E+00
43,55,43,7,5,7.00E+00
111,169,111,11,7,3
17,18,17,17,3,0.00E+00
79,118,79,11,6,0.00E+00
33,42,33,15,4,0.00E+00
109,167,109,9,7,1
77,115,77,9,6,0.00E+00
42,54,42,6,5,0.00E+00
