protons,nuetrons,electrons,periodic x,periodic y,class
1,3,1,1,1,5
2,2,2,18,1,6
3,4,3,1,2,6
4,3,4,2,2,5
5,6,5,13,2,6
6,8,6,14,2,6
7,6,7,15,2,3
8,8,8,16,2,6
9,9,9,17,2,4
37,48,37,1,5,6
115,174,115,15,7,1
99,153,99,14,7,5
73,105,73,5,6,4
25,29,25,7,4,5
117,175,117,17,7,1
86,136,86,18,6,5
36,43,36,18,3,5
30,35,30,12,4,5
112,173,112,12,7,2
110,171,110,10,7,2
14,18,14,14,3,6
83,126,83,15,6,6
75,111,75,7,6,6
11,13,11,1,3,4
118,176,118,18,7,1
24,27,24,6,4,5
48,65,48,12,5,6
29,38,29,11,4,5
101,157,101,16,7,5
45,60,45,9,5,5
71,102,71,18,6,5
72,110,72,4,6,6
10,10,10,18,2,1
105,163,105,5,7,5
44,50,44,8,5,5
54,81,54,18,5,4
65,92,65,12,7,5
76,110,76,8,6,6
80,123,80,12,6,5
95,148,95,10,7,7.00E+00
66,88,66,13,7,6
40,48,40,4,5,5
26,34,26,8,4,6
74,111,74,6,6,5
104,163,104,4,7,4
15,17,15,15,3,5
56,77,56,2,6,5
34,48,34,16,4,6
97,150,97,12,7,6.00E+00
116,177,116,16,7,3
59,83,59,6,7,4
28,31,28,10,4,6
96,151,96,11,7,7.00E+00
92,146,92,7,7,7.00E+00
55,80,55,1,6,6
12,12,12,2,3,1
103,159,103,18,7,4
31,41,31,13,4,4
85,125,85,17,6,4
57,80,57,3,6,6
87,136,87,1,7,3
27,31,27,9,4,5
43,55,43,7,5,7.00E+00
111,169,111,11,7,3
17,19,17,17,3,6
79,119,79,11,6,5
33,40,33,15,4,5
109,167,109,9,7,1
77,112,77,9,6,5
42,50,42,6,5,6
42,50,42,6,5,6
6,5,6,14,2,3
37,46,37,1,5,5
115,172,115,15,7,1
99,154,99,14,7,5
73,105,73,5,6,4
25,27,25,7,4,5
117,173,117,17,7,1
117,174,117,17,7,1
86,127,86,18,6,4
36,42,36,18,3,6
30,39,30,12,4,3
112,174,112,12,7,2
110,169,110,10,7,1
14,17,14,14,3,4
83,125,83,15,6,6
11,11,11,1,3,5
48,61,48,12,5,5
29,35,29,11,4,4
101,159,101,16,7,5
45,57,45,9,5,5
71,103,71,18,6,5
72,100,72,4,6,5
105,158,105,5,7,2
44,59,44,8,5,5
54,74,54,18,5,4
65,93,65,12,7,6
76,115,76,8,6,5
80,117,80,12,6,5
95,146,95,10,7,6
40,53,40,4,5,6
26,29,26,8,4,5
74,106,74,6,6,6
104,159,104,4,7,3
15,18,15,15,3,5
56,74,56,2,6,6
34,38,34,16,4,5
97,152,97,12,7,5
116,175,116,16,7,3
59,84,59,6,7,5
28,35,28,10,4,5
96,147,96,11,7,5
92,143,92,7,7,6
55,82,55,1,6,5
103,152,103,18,7,2
31,36,31,13,4,5
85,124,85,17,6,4
57,81,57,3,6,6
87,134,87,1,7,3
27,29,27,9,4,5
27,33,27,9,4,5
43,53,43,7,5,5
111,171,111,11,7,3
17,15,17,17,3,1
79,116,79,11,6,5
33,41,33,15,4,5
109,169,109,9,7,2
77,117,77,9,6,4
42,57,42,6,5,5
95,153,95,10,7,4
66,76,66,13,7,2
40,58,40,4,5,2
26,44,26,8,4,1
74,91,74,6,6,2
104,159,104,4,7,3
15,22,15,15,3,2
56,60,56,2,6,2
34,34,34,16,4,2
97,155,97,12,7,3
116,178,116,16,7,1
59,95,59,6,7,2
28,26,28,10,4,1
96,142,96,11,7,4
92,140,92,7,7,5
55,82,55,1,6,5
12,13,12,2,3,6
103,151,103,18,7,2
31,32,31,13,4,2
85,136,85,17,6,3
57,92,57,3,6,2
87,117,87,1,7,2
27,35,27,9,4,1
43,55,43,7,5,3
111,170,111,11,7,2
17,30,17,17,3,1
79,94,79,11,6,1
33,49,33,15,4,2
109,169,109,9,7,2
77,115,77,9,6,5
42,60,42,6,5,3
