element,protons,nuetrons,electrons,ProtElectConfigNumb,NueConfigNumb,periodic x,periodic y,ProtElectConfig,NueConfig,half
hydrogen,1,0,1,1,1,1,1,s1,0,1.43192E+17
helium,2,2,2,2,2,18,1,s2,s2,1.43192E+17
Lithium,3,4,3,11,12,1,2,[He]s1,[He]s2,1.43192E+17
Beryllium,4,5,4,12,121,2,2,[He]s2,[He]s2p1,1.43192E+17
boron,5,6,5,121,122,13,2,[He]s2p1,[He]s2p2,1.43192E+17
carbon,6,6,6,222,222,14,2,[He]s2p2,[He]s2p2,1.43192E+17
nitrogen,7,7,7,223,223,15,2,[He]s2p3,[He]s2p3,1.43192E+17
oxygen,8,8,8,224,224,16,2,[He]s2p4,[He]s2p4,1.43192E+17
flourine,9,10,9,225,226,17,2,[He]s2p5,[He]s2p6,1.43192E+17
Rubiduim,37,48,37,41,4210,1,5,[Kr]s1,[Kr] 5s2 4d10,48400000000
moscovium,115,174,115,6214103,6.2141E+15,15,7,[Rn] 7s2 5f14 6d10 7p3,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f14 7d10 8p6 6g2,0.22
einsteinium,99,153,99,6211,6.2141E+11,14,7,[Rn] 7s2 5f11,[Rn] 7s2 5f14 6d10 7p3 8s2  5g18 6f11,40754880
tantalum,73,108,73,62143,62146,5,6,[Xe] 6s2 4f14 5d3,[Rn] 7s2 5f14 6d6,1.43192E+17
manganese,25,30,25,325,3210,7,4,[Ar] 4s2 3d5,[Ar] 4s2 3d10,1.43192E+17
tennessine,117,175,117,6214105,6.2141E+15,17,7,[Rn] 7s2 5f14 6d10 7p5,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10 8p6,0.8
radon,86,136,86,6214106,6214103212,18,6,[Xe] 6s2 4f14 5d10 6p6,[Rn] 7s2 5f14 6d10 7p6 8s2  5g9,330350.4
Krypton,36,48,36,32106,4210,18,3,[Ar] 4s2 3d10 4p6,[Kr] 5s2 4d10,1.43192E+17
zinc,30,35,30,3210,32105,12,4,[Ar] 4s2 3d10,[Ar] 4s2 3d10 4p5,1.43192E+17
copernicum,112,173,112,621410,6.2141E+15,12,7,[Rn] 7s2 5f14 6d10,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10 8p4,30
Darmstadtium,110,171,110,62148,6.2141E+13,10,7,[Rn] 7s2 5f14 6d8,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10 8p2,14
Carbon,6,6,6,122,122,14,2,[He] 2s2 2p2,[He] 2s2 2p2,1.43192E+17
silicon,14,14,14,222,222,14,3,[Ne] 3s2 3p2,[Ne] 3s2 3p2,1.43192E+17
bismuth,83,126,83,5214103,52146,15,6,[Xe] 6s2 4f14 5d10 6p3,[Rn] 7s2 5f14 6d10 7p6 8s1,1.43192E+17
